serial_number,deploy_date,floor,hive_num,latitude,longitude,main_date,manuf_date,retired,sensor_type,vendor,wing,lat_long
9ba640cf-750c-11e6-834d-5fcfed080ab0,2015-09-12 03:09:22+0000,29,1,-16.49934,-62.8307,2016-01-31 21:34:58+0000,2015-08-09 17:50:01+0000,FALSE,Humidity,Silence,North-West-1C,"-16.49934,-62.8307"
9ba18547-750c-11e6-834d-5fcfed080ab0,2016-08-05 10:55:42+0000,31,1,-27.82914,-38.3379,2016-08-07 20:04:02+0000,2014-01-21 20:27:27+0000,FALSE,Humidity,Chaos Assembly,North-West-1F,"-27.82914,-38.3379"
9ba30c01-750c-11e6-834d-5fcfed080ab0,2015-10-11 10:08:32+0000,66,1,-42.92576,106.0872,2016-07-08 00:02:47+0000,2014-01-14 10:38:03+0000,FALSE,Humidity,Parallel,West-1C,"-42.92576,106.0872"
9b95ec53-750c-11e6-834d-5fcfed080ab0,2015-09-09 12:23:16+0000,6,1,35.52559,41.2604,2015-11-18 17:35:00+0000,2014-04-04 21:57:21+0000,FALSE,Motion/Humidity,Shadow Council,South-East-1D,"35.52559,41.2604"
9b9e29cd-750c-11e6-834d-5fcfed080ab0,2016-08-03 18:20:37+0000,94,3,-85.87373,-132.2475,2016-08-19 18:52:17+0000,2014-02-05 19:36:21+0000,FALSE,Motion/Humidity,Valhalla,South-West-1E,"-85.87373,-132.2475"
9ba61954-750c-11e6-834d-5fcfed080ab0,2016-02-05 01:35:38+0000,33,2,-78.02661,114.9022,2016-07-24 09:09:31+0000,2014-03-08 07:26:59+0000,FALSE,Motion/Humidity,Clone,South-1G,"-78.02661,114.9022"
9ba57da1-750c-11e6-834d-5fcfed080ab0,2016-03-05 19:04:46+0000,66,2,-11.19457,-95.4845,2016-04-04 14:23:47+0000,2015-10-21 05:14:23+0000,FALSE,Motion/Humidity,Germ,South-East-1G,"-11.19457,-95.4845"
9b963a72-750c-11e6-834d-5fcfed080ab0,2015-10-23 23:50:27+0000,43,3,-64.56311,94.0127,2015-12-10 02:06:28+0000,2014-04-23 17:02:52+0000,FALSE,Motion/Humidity,Silence,East-1F,"-64.56311,94.0127"
9b9f3b3a-750c-11e6-834d-5fcfed080ab0,2015-11-09 03:01:48+0000,59,1,-13.81966,-81.9253,2016-07-01 11:04:01+0000,2014-01-28 14:58:15+0000,FALSE,Motion,Parallel,North-West-1A,"-13.81966,-81.9253"
9ba3cf01-750c-11e6-834d-5fcfed080ab0,2015-09-19 19:52:36+0000,37,3,27.19417,5.8525,2016-07-28 07:38:48+0000,2014-06-04 16:05:46+0000,FALSE,Temperature,Grime,North-1E,"27.19417,5.8525"
9ba3cf71-750c-11e6-834d-5fcfed080ab0,2016-05-24 06:28:06+0000,21,3,-59.0202,-160.6371,2016-07-01 18:03:54+0000,2014-09-21 18:59:48+0000,FALSE,Temperature/Motion/Humidity,Clone,East-1E,"-59.0202,-160.6371"
9b9c54f9-750c-11e6-834d-5fcfed080ab0,2016-02-29 03:14:35+0000,13,1,-49.73981,-67.1099,2016-06-20 20:43:32+0000,2014-12-27 06:17:25+0000,FALSE,Temperature/Humidity,Hydro,South-1G,"-49.73981,-67.1099"
9ba296d8-750c-11e6-834d-5fcfed080ab0,2015-09-08 19:19:11+0000,45,2,-21.67521,142.2659,2015-11-24 18:18:24+0000,2015-09-02 01:28:22+0000,FALSE,Temperature/Motion,Clone,South-1G,"-21.67521,142.2659"
9ba24895-750c-11e6-834d-5fcfed080ab0,2016-08-14 23:48:34+0000,92,3,-62.4564,80.6939,2016-08-31 14:30:27+0000,2015-12-16 00:25:08+0000,FALSE,Humidity,Germ,North-1E,"-62.4564,80.6939"
9ba4ba43-750c-11e6-834d-5fcfed080ab0,2016-07-01 20:38:09+0000,7,2,-28.09343,11.0334,2016-08-29 01:35:29+0000,2014-10-27 01:52:33+0000,FALSE,Humidity,Silence,West-1D,"-28.09343,11.0334"
9ba55653-750c-11e6-834d-5fcfed080ab0,2016-06-15 01:48:46+0000,68,3,-77.82405,123.3148,2016-08-09 18:22:17+0000,2014-03-29 03:26:22+0000,FALSE,Humidity,Twilight,North-West-1G,"-77.82405,123.3148"
